NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
92007001;BAGNEUX;48.809667;2.308167;82;200611;53.6;1.0;30.0;;17.0;1.0;18.0;9.0;4.0;2.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200612;67.3;1.0;31.0;;12.0;1.0;8.0;10.0;6.0;3.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200701;30.3;1.0;31.0;;7.7;1.0;17.0;11.0;1.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;1.0;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200702;88.0;1.0;28.0;;18.0;1.0;28.0;13.0;6.0;3.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;1.0;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200703;47.1;1.0;31.0;;7.0;1.0;6.0;13.0;5.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200704;10.3;1.0;30.0;;8.2;1.0;29.0;2.0;1.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200705;103.7;1.0;31.0;;31.0;1.0;25.0;14.0;7.0;4.0;1.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200706;48.2;1.0;30.0;;9.0;1.0;17.0;10.0;4.0;0.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200707;75.0;1.0;31.0;;15.9;1.0;23.0;13.0;5.0;3.0;0.0;0.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200708;198.5;1.0;31.0;;51.0;1.0;22.0;13.0;7.0;4.0;3.0;2.0;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;0.0;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;
